feature,coefficient,odds_ratio
numeric__therapy_record_n,-0.1698773369091286,0.8437683094776954
categorical__sex_clean_M,-0.1703834670790408,0.8433413609347364
bool__indi_soc_endocrine_disorders,-0.17122481221660843,0.8426321181822121
bool__duration_known,-0.1757254097296901,0.8388482912945203
bool__indi_soc_infections_and_infestations,-0.18309484660881034,0.8326891742472164
categorical__cns_coprescription_bucket_0,-0.18610874326004745,0.8301833132333378
categorical__distinct_drug_n_bucket_10-19,-0.18959647122165305,0.8272929030906243
bool__indi_soc_neoplasms_benign_malignant_and_unspecified_incl_cysts_and_polyps,-0.19141366333632612,0.8257909180615982
categorical__reporter_country_IT,-0.203389158352318,0.8159606417324385
categorical__e_sub_Y,-0.21234318555323162,0.8086871202022157
bool__is_antiepileptic,-0.29817655680008837,0.7421702929674677
bool__indi_pain,-0.30279896710783377,0.738747594008932
bool__has_end_dt,-0.38847258804062,0.6780918094502576
categorical__rept_cod_PER,-0.5994135841665033,0.5491335623091287
